종목코드,총자산,총자본회전율,부채비율,매출액증가율,자기자본회전율,당기순이익,최대주주변경,대표이사변경,전환사채,파산신청,거래정지,불성실공시법인,레이블
56020,522.4975971,0.01988341,19.2775061,-0.875587747,40.31859707,-401.4289025,1,1,14,0,5,2,1
56340,327.3115915,0.328342984,0.889752288,-0.762290933,62.04869053,-234.0174248,0,1,0,0,2,2,1
56710,437.254609,0.466064902,-1.785601581,-0.360066998,-36.61413239,-912.1533005,0,0,0,0,6,0,1
56810,256.5787314,1.281866264,10.0022677,1.871305617,1410.34358,-177.240756,1,4,0,0,6,0,1
56850,211.1714463,0.215917128,-3.228916902,0.394946509,-48.12613363,-563.6255826,3,5,1,0,6,2,1
57100,74.59534974,1.03032445,1.956006391,-0.55599899,304.564566,-160.8441109,2,1,5,0,5,6,1
58370,328.3570395,0.386215978,0.383626783,-0.256805581,53.4378771,-99.28605107,0,1,2,3,9,0,1
58480,1212.730016,1.708686849,3.606946086,-0.200726033,787.1828191,65.5132253,0,0,0,0,3,0,1
58550,106.0531586,0.013373717,-15.12165351,-0.961349276,-18.88589909,-234.5392073,3,5,8,0,20,4,1
58690,410.1051062,0.247427483,4.329940458,0.177154306,131.8773753,-220.3829512,2,2,1,0,9,6,1
58900,381.6781985,0.098393454,0.053355302,0.058351372,10.36432663,-143.593623,2,1,0,0,6,0,1
59720,112.5678574,0.735212,4.962501706,-0.345185794,438.3702804,-206.9724907,4,9,6,0,13,4,1
60550,307.8181933,1.600297714,-1.801253851,-0.396983789,-128.2244707,-750.5365508,3,2,5,0,13,0,1
60750,826.26135,0.099264209,1.206959141,-0.541651074,21.90720543,-126.228866,2,1,4,0,2,0,1
60900,194.903917,0.267667736,0.303202097,6.010555142,34.88251554,-57.47681527,4,3,1,0,9,2,1
60910,37.88013778,0.539502207,1.099492285,-0.634302153,113.2680721,-10.78422391,0,0,0,0,1,0,1
61050,742.8177387,0.93583482,0.730099754,-0.035762662,161.9087592,-98.4092231,2,3,0,0,9,2,1
61140,872.9908499,0.500468489,0.71749526,3.931391681,85.95522577,-312.8912452,0,1,2,0,5,10,1
62730,2024.629675,0.440922392,7.10704359,-0.063204793,357.4577055,-624.6301048,0,2,0,0,8,2,1
63280,446.1837431,0.262889275,6.059025447,-0.682239816,185.5742084,-369.9409091,1,6,9,0,12,2,1
64060,79.3746119,0.207476941,-2.987501252,-0.494654616,-41.23606806,-539.3175137,5,6,1,0,5,0,1
65180,586.0414474,0.231361646,0.869544099,-0.207960647,43.25408004,-42.56031679,0,1,1,0,6,0,1
65410,1333.991008,0.046291192,5.051577932,-0.644436738,28.01347577,-316.4996508,1,0,0,0,7,4,1
65610,175.8805709,1.13714E-09,1.864827119,-0.999999999,3.2577E-07,-342.9052917,1,1,0,0,4,0,1
65910,212.4963029,0.109508321,6.859688457,-0.812052878,86.07012899,-336.0758245,2,0,11,0,7,0,1
66060,1135.571522,1.357560776,-3.42141777,0.041780499,-328.7221789,-699.5605368,0,1,0,0,8,4,1
66200,33.6976611,0.912648885,-1.717820422,61.41613837,-65.5118008,-389.1136019,3,4,2,0,12,2,1
66300,325.0744507,0.188422013,-7.329084442,-0.81487816,-119.253883,-188.7691114,4,3,5,0,16,3,1
66340,295.1735488,0.192295918,2.677710305,-0.171911449,70.72086801,-659.0493286,2,3,1,0,4,6,1
66850,548.5593108,0.746448031,12.53301896,3.295900484,1010.169536,-206.0474938,8,2,0,0,13,0,1
66930,878.64656,0.766368787,0.114045834,0.669180966,85.3769954,296.9127122,1,0,0,0,3,2,1
67950,68.42457521,0.459944453,-4.241215754,-0.858515329,-149.0779206,-189.0198004,7,2,19,0,5,0,1
68770,441.5014727,0.45473287,2.283822918,0.0320381,149.3262219,-327.9134074,3,6,1,0,9,8,1
69470,62.56906167,0.70976737,3.229525619,-0.579486611,300.1979275,-148.1933405,6,0,4,0,10,11,1
70080,616.3081986,0.699532965,3.244531661,0.595702502,296.9189819,-266.5721274,0,3,8,0,4,0,1
71360,322.9688836,0.656216689,1.915007738,-0.396891688,191.2876727,-226.3331943,4,2,20,0,5,2,1
71660,7310.011351,0.271324464,1.560178176,-0.247074259,69.46389711,-1084.388112,0,0,0,0,3,0,1
73130,332.2103155,1.039003976,42.59950447,-0.052363752,4530.005848,-328.1343837,1,0,5,0,4,1,1
73780,94.48447852,0.008460702,1.782736675,-0.998248421,2.354390585,-231.9289672,2,5,4,0,15,0,1
74140,592.3323556,0.178440857,2.434099908,-0.801585889,61.27837319,-166.1958679,1,2,10,0,10,0,1
74150,731.5288782,0.06075397,1.175279748,-0.226318623,13.21568812,-55.01643334,0,2,0,0,3,3,1
77960,485.5814253,0.458376001,4.113603687,0.605803649,234.3953209,-305.6742203,1,0,19,0,4,3,1
78610,232.0983406,1.5911307,-2.173476142,-0.435339953,-186.7153915,-546.1247312,2,6,6,0,10,2,1
78670,707.3490484,0.433003641,0.726702009,-0.060252107,74.76682559,-74.00620261,1,3,2,0,4,0,1
78700,100.2867539,0.21115379,-6.602551427,-0.568898132,-118.2999967,-146.144049,1,5,5,0,8,2,1
78780,732.944639,0.448357652,5.4121454,-0.738277053,287.4934457,-50.9712013,0,1,7,0,7,2,1
79340,601.1080817,0.32510291,1.252311534,0.009793229,73.2233035,-127.4128373,1,6,6,0,7,5,1
79560,702.9559534,0.4049786,18.04077995,-0.505558489,771.1108414,-157.2327799,1,0,4,0,3,0,1
79870,349.2706142,0.479657933,-8.638678687,-0.589134349,-366.3952831,-263.8217411,1,1,2,0,8,0,1
80140,411.9623459,0.687986084,20.43644796,-0.402169616,1474.797788,-800.8275999,4,1,0,0,16,2,1
80570,552.0855479,1.267029818,2.367875433,0.87377812,426.7198596,-385.7467166,3,7,1,0,8,2,1
81090,1049.220084,1.296320236,0.918461746,0.824751031,248.6940782,-110.9074238,2,2,1,0,6,0,1
81500,307.9565515,0.134131981,0.883876025,-0.360679395,25.26880236,-288.188606,0,1,6,0,5,0,1
82390,147.937134,0.108423832,-61.3699142,-0.570355014,-654.5537414,-155.8560915,2,1,1,0,9,4,1
84810,80.51251816,0.574848939,-3.16209788,-0.63664548,-124.2879672,-577.5896038,1,1,0,0,7,3,1
86200,940.977101,0.443660091,1.249774626,-0.126768087,99.81352147,-168.93205,7,2,1,0,5,2,1
88810,177.0352239,0.250369445,0.233034546,0.22840333,30.87141755,-38.47679001,3,5,6,0,11,4,1
88960,94.85597175,3.346160875,3.834955146,-0.664602436,1617.853774,-242.1312229,4,4,0,0,6,10,1
89240,2204.181605,0.084850433,9.037177702,-0.148486242,85.16588696,-837.6673259,1,1,2,0,7,0,1
89480,3563.070631,0.652638088,-8.139073827,0.320242025,-465.9231495,-968.3799684,2,0,0,0,7,2,1
90090,330.5779447,0.558484355,2.19348347,-0.231738397,178.3510556,-38.1916603,0,1,0,0,2,0,1
90120,737.2730694,0.745521945,20.83051914,-0.585954544,1627.51311,-344.9316686,0,1,0,0,5,2,1
91690,2131.483132,1.087884893,5.431878327,-0.020874923,699.7143264,-891.5022846,2,5,0,0,7,6,1
110500,250.8261025,0.840917811,9.668174941,0.024448528,897.1058313,-174.9940394,5,7,2,0,8,4,1
119250,265.4078463,0.253454921,0.150772715,-0.697162887,29.1669008,-66.18995283,3,0,0,0,1,4,1
149130,365.6400255,0.314749869,10.09871576,-0.651023505,349.3319337,-128.0174156,5,0,0,0,2,0,1
155960,613.042553,0.062825317,0.924400676,-0.8804491,12.09010816,-376.814769,13,2,7,0,12,4,1
950030,13612.83017,0.356718121,2.419038717,-0.525150337,121.9633067,-10485.08698,2,1,0,0,4,4,1
1000,321.2207011,0.124431247,1.279782269,0.045329586,28.36761505,4.24392322,0,0,0,0,0,0,0
1840,844.6137964,2.495545774,0.987049459,0.277116412,495.877288,16.37770034,0,0,0,0,0,0,0
